model,score_threshold,AP50,precision,recall,mean_matched_iou,mean_best_iou_per_image,miss_rate,num_predictions,num_ground_truth,mean_inference_ms,median_inference_ms
YOLO,0.5,0.24211199581623077,0.09541984732824428,0.9749303621169917,0.7505641334397453,0.8416661743002017,0.008356545961002786,3668,359,28.95205153212662,15.729099992313422
Faster R-CNN,0.5,0.9999722838401794,0.9755434782608695,1.0,0.9424549630093375,0.9427709466567611,0.0,368,359,169.68448885820592,140.17699999385513
