threshold,accuracy,mean_iou,mean_position_error,miss_rate,missed_detections,total
0.1,0.8245125348189415,0.6869206188471123,9.183346,0.0,0,359
0.2,0.8523676880222841,0.6994948117525706,6.8279033,0.002785515320334262,1,359
0.3,0.8774373259052924,0.7094605567314777,6.2657666,0.002785515320334262,1,359
0.4,0.8941504178272981,0.723275681259545,5.114291,0.002785515320334262,1,359
0.5,0.9025069637883009,0.7291431487580866,3.8783157,0.008356545961002786,3,359
0.6,0.8941504178272981,0.7349948496327714,4.9767265,0.013927576601671309,5,359
