model,score_threshold,AP50,precision,recall,mean_matched_iou,mean_best_iou_per_image,miss_rate,num_predictions,num_ground_truth,mean_inference_ms,median_inference_ms
YOLO,0.3,0.24211199581623077,0.07546356188012074,0.9749303621169917,0.7505641334397453,0.8477615987814568,0.0,4638,359,4.479343452929288,4.254500003298745
Faster R-CNN,0.3,0.9999722838401794,0.9702702702702702,1.0,0.9424549630093375,0.9427709466567611,0.0,370,359,44.83741086347983,43.378899979870766
YOLO,0.5,0.24211199581623077,0.09541984732824428,0.9749303621169917,0.7505641334397453,0.8416661743002017,0.008356545961002786,3668,359,4.3144211697412915,4.109900008188561
Faster R-CNN,0.5,0.9999722838401794,0.9755434782608695,1.0,0.9424549630093375,0.9427709466567611,0.0,368,359,44.20630863556719,42.656300007365644
YOLO,0.7,0.2341402769088745,0.12786108918705605,0.9025069637883009,0.7528846806582109,0.7812225484395592,0.025069637883008356,2534,359,3.9088571043509965,3.64330000593327
Faster R-CNN,0.7,0.9999722838401794,0.9808743169398907,1.0,0.9424549630093375,0.9427709466567611,0.0,366,359,44.98019052919423,43.315499991877005
